  Monday,Tuesday  ,Wednesday,Thursday,Friday,Saturday,Sunday,
Camberwell        ,9.30am-7.30pm,10.00am-7.30pm ,9.30am-7.30pm ,9.30am-7.30pm ,9.30am-7.30pm ,closed,closed
Chelsea ,9.30am-7.30pm,9.30am-7.30pm,10.00am-7.30pm,9.30am-7.30pm,9.30am-5.00pm,10.00am-3.45pm,closed
CSM,9.00am-10.00pm ,9.00am-10.00pm,9.00am-10.00pm ,9.00am-10.00pm ,9.00am-10.00pm ,11.15am-5.00pm ,12.15pm-6.00pm
LCC,9.00am-10.00pm,9.00am-10.00pm,9.00am-10.00pm,9.00am-10.00pm,9.00am-10.00pm,11.15am-5.00pm ,11.15am-5.00pm 
LCF,9.00am-8.15pm,9.00am-8.15pm,9.00am-8.15pm,9.00am-8.15pm,9.00am-5.15pm,11.15am-5.00pm,closed
WCA,9.30am-8.30pm,9.30am-8.30pm,9.30am-8.30pm,9.30am-8.30pm,10.00am-7.30pm,closed,closed
LZ@KX,9.00am-10.00pm ,9.00am-10.00pm ,9.00am-10.00pm ,9.00am-10.00pm ,9.00am-10.00pm ,11.15am-5.00pm ,12.15pm-6.00pm
LZ@EC,9.00am-10.00pm,9.00am-10.00pm,9.00am-10.00pm,9.00am-10.00pm,9.00am-10.00pm,11.15am-5.00pm,11.15am-5.00pm
ASCC,closed,1.00pm-5.00pm,1.00pm-5.00pm,1.00pm-5.00pm,1.00pm-5.00pm,closed,closed

